	names	scores	logfoldchanges	pvals	pvals_adj
20616	Ahctf1	-9.39917	-3.4166207	6.941015823799419e-19	3.9085361995041546e-18
17473	Paf1	-5.319397	-3.419234	2.122383281143394e-07	6.922514140804063e-07
22467	Commd4	-14.855898	-3.4203799	2.400969151426869e-39	2.345397205242387e-38
18884	Lrpprc	-6.7687707	-3.4221287	7.030957426243586e-11	2.8184335155335644e-10
22366	Ndufa1	-14.417807	-3.4266381	1.3152011391473793e-36	1.2056329975988768e-35
13831	Timm21	-2.7988224	-3.4271545	0.005509607606544287	0.011963800909445354
16328	AW549877	-4.3249803	-3.4303744	2.116684390805341e-05	5.984385654301174e-05
19864	Id1	-8.085896	-3.4304717	8.79661238183637e-15	4.245395008685957e-14
16040	Sertad2	-4.133752	-3.4376438	4.738835453146107e-05	0.0001294814979235685
16753	Prkrip1	-4.661936	-3.4435782	4.914102518928061e-06	1.4617944035136761e-05
23622	Amn	-24.180935	-3.4459822	2.3860440369010334e-81	4.3334694371269745e-80
20699	Hadh	-9.573641	-3.460357	2.829283400970506e-19	1.6145143980946486e-18
19797	Polr2l	-7.9677076	-3.464229	3.3238557986861925e-14	1.5659911736308764e-13
20500	Polr2j	-9.1866045	-3.4651854	6.266786520428739e-18	3.414224564324551e-17
23600	Snx3	-23.850925	-3.4655478	9.608602813858172e-75	1.601688503510858e-73
22591	Pdcd6	-15.33063	-3.4678905	6.6243670203765165e-40	6.557628021666703e-39
19438	Pip4p1	-7.4566984	-3.472423	9.937362112668191e-13	4.3784271603092605e-12
23326	Glul	-20.632444	-3.473879	1.7084736246877864e-60	2.37956509166094e-59
13403	Erc1	-2.581581	-3.4750078	0.010397226647805045	0.02170208605915593
17942	Anapc1	-5.7439055	-3.476998	2.318458697544302e-08	8.075119091391494e-08
12764	Kbtbd2	-2.2932808	-3.477801	0.022652251630371455	0.044665261229941494
14685	Dlgap4	-3.2724671	-3.4783914	0.0012108196988898257	0.002856053892148788
19413	Bzw2	-7.422518	-3.4785736	1.3629853265465625e-12	5.968755728403941e-12
13634	Sap30l	-2.6938257	-3.4803746	0.0075234543436806574	0.016034991574389364
19164	Get4	-7.1024604	-3.4886036	9.176292262827645e-12	3.856004937841072e-11
16289	Wdr73	-4.3069925	-3.4888523	2.301453204067191e-05	6.479824702832564e-05
13781	Ptgr2	-2.772561	-3.4968362	0.005969479448954064	0.01289780845722303
17497	B3galnt1	-5.33776	-3.4971855	1.8994971383561774e-07	6.218109190292985e-07
23895	Lrp2	-28.877708	-3.49978	7.963560438176502e-109	1.8210490841990158e-107
23856	Pdia3	-27.926964	-3.5012434	1.9029545687382535e-100	4.070316260377723e-99
23571	Bsg	-23.429808	-3.5055063	2.7574795688307313e-73	4.530479495386559e-72
16137	Tmx3	-4.198547	-3.5076616	3.653843815799632e-05	0.00010093211875974515
19811	Dpp3	-7.9883823	-3.509538	2.8671229045966324e-14	1.355376988201911e-13
22032	Eif6	-13.177616	-3.5119252	1.0801242587574027e-31	8.736156143017269e-31
22772	Prelid1	-16.265226	-3.5145414	2.121621737713762e-43	2.255590582859339e-42
23054	Spcs2	-18.148216	-3.515509	1.0151935500166824e-51	1.2438469828114772e-50
13713	Armc6	-2.7326424	-3.5165877	0.00671973264418957	0.014419736813849551
15222	Mboat7	-3.5922954	-3.5225408	0.00038986842184067575	0.0009725059780821458
18827	Pacsin2	-6.7107944	-3.523517	1.0156576591862079e-10	4.0398249144797394e-10
15071	Ascc2	-3.4950964	-3.5256808	0.0005552067013823387	0.0013625043284459853
17756	Ppip5k2	-5.5591497	-3.5278714	6.224493030288204e-08	2.108414997089543e-07
12874	Axin1	-2.346326	-3.5305061	0.01973084989881725	0.03927744526391652
21420	Abcf1	-11.225593	-3.532334	7.654505512549596e-25	5.1939959984535345e-24
22487	Ppib	-14.91481	-3.533291	1.2027365261064997e-39	1.1850228976765723e-38
20068	Birc6	-8.406338	-3.5344286	1.557650671696699e-15	7.740249900406711e-15
18784	Srebf2	-6.651024	-3.5351553	1.4075576482831126e-10	5.560814368605845e-10
17531	Rps6kb1	-5.3604393	-3.5389225	1.78968890513899e-07	5.874701124868348e-07
17768	Stard10	-5.5770864	-3.5392554	5.541322653410036e-08	1.884619118765225e-07
17503	Rtf2	-5.34411	-3.5436683	1.8794214739346695e-07	6.158000228650864e-07
14668	Braf	-3.2623558	-3.546265	0.0012510391045948775	0.0029462257875647923
18006	Actr10	-5.794099	-3.5500622	1.8417000231737427e-08	6.461104934855275e-08
17023	Tead4	-4.9013686	-3.5558586	1.6335429350996942e-06	5.0171109877286575e-06
12692	Rnf25	-2.2575636	-3.5612564	0.02482028314753185	0.04863136020353764
18696	Nipsnap3b	-6.535398	-3.567868	2.8277546332326146e-10	1.1000516554954096e-09
21947	Copz1	-12.9019	-3.573451	5.3397753969691095e-31	4.262669321972738e-30
21517	Dstn	-11.5162325	-3.5736275	1.8799300303253827e-26	1.333176204759083e-25
21039	Bud31	-10.319785	-3.5765805	1.7018538756232906e-21	1.0420747903463547e-20
15895	Dolpp1	-4.0286274	-3.5776553	7.28010437277158e-05	0.00019577052105270077
15582	Mtpap	-3.8294828	-3.5803056	0.00015968590594565832	0.0004143531337071477
22076	Lamtor5	-13.369684	-3.5832834	1.8472729816454918e-32	1.5239850633096326e-31
13782	Vps50	-2.7726834	-3.5870473	0.005962085429480052	0.012882939343109804
20227	Znhit3	-8.711885	-3.5962865	1.905789393516811e-16	9.779319951962845e-16
20118	Fam50a	-8.495807	-3.5986586	1.1252201796438044e-15	5.611377557248266e-15
14022	Dnajc24	-2.902821	-3.5990996	0.004019182208484644	0.008887273836078477
19491	Pepd	-7.537582	-3.6000803	5.178809367268901e-13	2.3093027978068064e-12
13567	Gripap1	-2.6569307	-3.6107223	0.008379293217716327	0.017752273359592056
21466	Ndufb10	-11.366944	-3.6181827	3.032669034663646e-25	2.085965460703564e-24
24349	Lrpap1	-51.634552	-3.6206915	2.0973352522121352e-206	7.850650436628579e-205
20895	Gcat	-10.032005	-3.6248126	1.0221078097229047e-20	6.092440721746433e-20
18593	Scfd1	-6.4248843	-3.6264787	5.27417035805361e-10	2.0248241939328524e-09
16115	Paip1	-4.1831946	-3.6336627	3.847327353456417e-05	0.00010607878137547158
13593	Prdm2	-2.6693802	-3.6361501	0.00808006544669765	0.017157349843511117
16982	Hhex	-4.8598886	-3.6395454	1.9286686532474958e-06	5.8993251277729216e-06
23321	Clta	-20.59219	-3.6479456	1.7260101829308091e-62	2.4598334357757263e-61
22575	Tpi1	-15.257211	-3.6480978	2.1165708509504754e-41	2.1624786021449336e-40
19840	Rps24-ps3	-8.029604	-3.6483972	6.798976003885998e-15	3.2952108362571945e-14
24193	Serpinh1	-38.992954	-3.652908	4.0815108687500504e-153	1.2236749033675658e-151
13407	Zfand2b	-2.5829442	-3.6544929	0.010355807824240374	0.021623365568960762
14797	Erf	-3.338819	-3.6600797	0.0009634652738417184	0.002299118252368332
20830	Elof1	-9.887085	-3.6604147	3.293022437187621e-20	1.936700640285654e-19
13702	Slc31a2	-2.7288451	-3.6700318	0.00679096432133984	0.014563587922464427
21898	Rbm47	-12.688679	-3.6737418	2.269355123812878e-30	1.7855288953515524e-29
20177	Jagn1	-8.605729	-3.6765547	4.537133899190228e-16	2.2944725794175918e-15
22232	Atp6v1b2	-13.907943	-3.6800618	2.9340666040871925e-35	2.5996305515748233e-34
21029	Tmed1	-10.303386	-3.6802628	1.851783487751839e-21	1.132225616210738e-20
14109	Pik3ca	-2.950063	-3.6816595	0.003460186142269445	0.007716092395624611
17401	Mettl1	-5.257672	-3.685652	2.9738306379785694e-07	9.59760532046612e-07
20734	Tpm1	-9.641608	-3.6856716	1.6103567134118484e-19	9.25237843059882e-19
15869	Hmox2	-4.0074177	-3.6867926	7.984934212088559e-05	0.00021383267877235772
18240	Glb1	-6.0416427	-3.6889718	4.152252102989509e-09	1.513048665777171e-08
